Model,Split,Accuracy,Macro Precision,Macro Recall,Macro F1,Weighted Precision,Weighted Recall,Weighted F1,Cohen Kappa,MCC
YOLOs,Training,0.985703,0.947904,0.976702,0.96165,0.986262,0.985703,0.985856,0.978965,0.978999
YOLOs,Validation,0.90677,0.839569,0.864283,0.848623,0.909435,0.90677,0.907721,0.860866,0.860957
YOLOs,Testing,0.884706,0.829051,0.848162,0.833402,0.894257,0.884706,0.887936,0.830615,0.83122
YOLO12,Training,0.955793,0.846262,0.947665,0.887848,0.961222,0.955793,0.957413,0.935483,0.935785
YOLO12,Validation,0.88658,0.740214,0.850647,0.778302,0.893312,0.88658,0.889047,0.831817,0.832057
YOLO12,Testing,0.864706,0.767444,0.834098,0.794957,0.876205,0.864706,0.868665,0.802124,0.802895
YOLO11,Training,0.953377,0.842055,0.946868,0.884668,0.959132,0.953377,0.955084,0.931894,0.932221
YOLO11,Validation,0.876868,0.706064,0.824174,0.74709,0.88445,0.876868,0.879746,0.816903,0.81714
YOLO11,Testing,0.84192,0.73914,0.785679,0.758421,0.854335,0.84192,0.846661,0.768864,0.769602
YOLO10,Training,0.949376,0.831891,0.935007,0.873956,0.955697,0.949376,0.951302,0.925844,0.926207
YOLO10,Validation,0.865912,0.689047,0.802716,0.728182,0.874668,0.865912,0.869319,0.800473,0.800768
YOLO10,Testing,0.822014,0.693403,0.76125,0.718851,0.835889,0.822014,0.827193,0.73998,0.740792
YOLO9,Training,0.951014,0.83709,0.939304,0.879123,0.957075,0.951014,0.952824,0.928417,0.928788
YOLO9,Validation,0.857228,0.662791,0.782878,0.700754,0.867406,0.857228,0.861281,0.787663,0.787998
YOLO9,Testing,0.812057,0.691606,0.750061,0.715324,0.828242,0.812057,0.818541,0.724372,0.725286
YOLO8,Training,0.947003,0.825723,0.928136,0.867582,0.953671,0.947003,0.94907,0.922525,0.922909
YOLO8,Validation,0.849552,0.651572,0.764431,0.688103,0.859841,0.849552,0.853714,0.776012,0.776333
YOLO8,Testing,0.799292,0.669017,0.725477,0.691733,0.816273,0.799292,0.806281,0.705491,0.706379
